Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	61.7609	104.4
103.256	61.7696	104.581
103.256	61.7783	104.761
103.256	61.787	104.942
103.256	61.7957	105.122
103.256	61.8044	105.303
103.256	61.813	105.484
103.256	61.8217	105.665
103.256	61.8304	105.847
103.256	61.8391	106.028
103.256	61.8478	106.21
103.256	61.8565	106.391
103.256	61.8652	106.573
103.256	61.8739	106.755
103.256	61.8826	106.937
103.256	61.8912	107.12
103.256	61.8999	107.302
103.256	61.9086	107.485
103.256	61.9173	107.668
103.256	61.926	107.851
103.256	61.9347	108.034
103.256	61.9434	108.217
103.256	61.952	108.4
103.256	61.9607	108.584
103.256	61.9694	108.768
103.256	61.9781	108.951
103.256	61.9868	109.135
103.256	61.9954	109.319
103.256	62.0041	109.504
103.256	62.0128	109.688
103.256	62.0215	109.873
103.256	62.0302	110.057
103.256	62.0388	110.242
103.256	62.0475	110.427
103.256	62.0562	110.612
103.256	62.0649	110.798
103.256	62.0736	110.983
103.256	62.0822	111.169
103.256	62.0909	111.355
103.256	62.0996	111.541
103.256	62.1083	111.727
103.256	62.1169	111.913
103.256	62.1256	112.099
103.256	62.1343	112.286
103.256	62.1429	112.472
103.256	62.1516	112.659
103.256	62.1603	112.846
103.256	62.169	113.033
103.256	62.1776	113.22
103.256	62.1863	113.408
103.256	62.195	113.595
103.256	62.2036	113.783
103.256	61.2865	103.204
103.256	61.2952	103.385
103.256	61.3039	103.566
103.256	61.3126	103.747
103.256	61.3213	103.928
103.256	61.33	104.109
103.256	61.3387	104.291
103.256	61.3474	104.472
103.256	61.3561	104.654
103.256	61.3648	104.836
103.256	61.3735	105.018
103.256	61.3822	105.2
103.256	61.3908	105.382
103.256	61.3995	105.565
103.256	61.4082	105.747
103.256	61.4169	105.93
103.256	61.4256	106.113
103.256	61.4343	106.296
103.256	61.443	106.479
103.256	61.4516	106.663
103.256	61.4603	106.846
103.256	61.469	107.03
103.256	61.4777	107.214
103.256	61.4864	107.398
103.256	61.4951	107.582
103.256	61.5038	107.766
103.256	61.5124	107.951
103.256	61.5211	108.135
103.256	61.5298	108.32
103.256	61.5385	108.505
103.256	61.5472	108.69
103.256	61.5558	108.875
103.256	61.5645	109.06
103.256	61.5732	109.246
103.256	61.5819	109.431
103.256	61.5906	109.617
103.256	61.5992	109.803
103.256	61.6079	109.989
103.256	61.6166	110.175
103.256	61.6253	110.362
103.256	61.6339	110.548
103.256	61.6426	110.735
103.256	61.6513	110.921
103.256	61.66	111.108
103.256	61.6686	111.296
103.256	61.6773	111.483
103.256	61.686	111.67
103.256	61.6946	111.858
103.256	61.7033	112.045
103.256	61.712	112.233
103.256	61.7207	112.421
103.256	61.7293	112.609
103.256	61.738	112.798
103.256	61.7467	112.986
103.256	61.7553	113.175
103.256	61.764	113.363
103.256	61.7727	113.552
103.256	61.7813	113.741
103.256	61.79	113.93
103.256	61.7987	114.12
103.256	61.8073	114.309
103.256	61.816	114.499
103.256	61.8247	114.689
103.256	61.8333	114.879
103.256	61.842	115.069
103.256	61.8507	115.259
103.256	61.8593	115.449
103.256	61.868	115.64
103.256	61.8766	115.83
103.256	61.8853	116.021
103.256	61.894	116.212
103.256	61.9026	116.403
103.256	60.9867	105.18
103.256	60.9953	105.364
103.256	61.004	105.548
103.256	61.0127	105.733
103.256	61.0214	105.917
103.256	61.0301	106.102
103.256	61.0388	106.287
103.256	61.0474	106.472
103.256	61.0561	106.657
103.256	61.0648	106.843
103.256	61.0735	107.028
103.256	61.0822	107.214
103.256	61.0909	107.399
103.256	61.0995	107.585
103.256	61.1082	107.771
103.256	61.1169	107.958
103.256	61.1256	108.144
103.256	61.1342	108.33
103.256	61.1429	108.517
103.256	61.1516	108.704
103.256	61.1603	108.891
103.256	61.169	109.078
