Longitude(deg)	Lattitude(deg)	Alttitude(km)
102.914	52.877	0.541466
102.899	52.8768	0.545151
102.884	52.8766	0.548991
102.869	52.8764	0.552989
102.854	52.8762	0.557144
102.839	52.876	0.561455
102.824	52.8758	0.565923
102.81	52.8756	0.570548
102.795	52.8753	0.575329
102.78	52.8751	0.580267
102.765	52.8749	0.585362
102.75	52.8747	0.590614
102.735	52.8745	0.596023
102.72	52.8743	0.601588
102.705	52.874	0.60731
102.691	52.8738	0.613189
102.676	52.8736	0.619225
102.661	52.8733	0.625417
102.646	52.8731	0.631767
102.631	52.8729	0.638273
102.616	52.8726	0.644935
102.601	52.8724	0.651755
102.586	52.8722	0.658731
102.572	52.8719	0.665864
102.557	52.8717	0.673154
102.542	52.8714	0.6806
102.527	52.8712	0.688204
102.512	52.8709	0.695964
102.497	52.8707	0.70388
102.482	52.8704	0.711954
102.467	52.8702	0.720184
102.453	52.8699	0.728571
102.438	52.8697	0.737115
102.423	52.8694	0.745816
102.408	52.8691	0.754673
102.393	52.8689	0.763687
102.378	52.8686	0.772858
102.363	52.8683	0.782186
102.348	52.8681	0.79167
102.334	52.8678	0.801311
102.319	52.8675	0.811109
102.304	52.8673	0.821064
102.289	52.867	0.831175
102.274	52.8667	0.841443
102.259	52.8664	0.851868
102.244	52.8661	0.86245
102.229	52.8659	0.873188
102.215	52.8656	0.884083
102.2	52.8653	0.895135
102.185	52.865	0.906343
102.17	52.8647	0.917709
102.155	52.8644	0.929231
102.14	52.8641	0.94091
102.125	52.8638	0.952745
102.111	52.8635	0.964738
102.096	52.8632	0.976887
102.081	52.8629	0.989192
102.066	52.8626	1.00165
102.051	52.8623	1.01427
102.036	52.862	1.02705
102.021	52.8617	1.03998
102.006	52.8614	1.05307
101.992	52.8611	1.06632
101.977	52.8607	1.07972
101.962	52.8604	1.09328
101.947	52.8601	1.107
101.932	52.8598	1.12087
101.917	52.8595	1.1349
103.256	52.8811	0.5
103.241	52.8809	0.508805
103.226	52.8808	0.517767
103.211	52.8806	0.526885
103.196	52.8805	0.53616
103.182	52.8803	0.545592
103.167	52.8801	0.555181
103.152	52.88	0.564926
103.137	52.8798	0.574829
103.122	52.8796	0.584888
103.107	52.8794	0.595103
103.092	52.8793	0.605476
103.077	52.8791	0.616005
103.063	52.8789	0.626691
103.048	52.8787	0.637534
103.033	52.8785	0.648533
103.018	52.8784	0.65969
103.003	52.8782	0.671003
102.988	52.878	0.682472
102.973	52.8778	0.694099
102.958	52.8776	0.705882
102.944	52.8774	0.717822
102.929	52.8772	0.729919
102.914	52.877	0.742172
102.899	52.8768	0.754582
102.884	52.8766	0.767149
102.869	52.8764	0.779873
102.854	52.8762	0.792754
102.839	52.876	0.805791
102.824	52.8758	0.818985
102.81	52.8756	0.832335
102.795	52.8753	0.845843
102.78	52.8751	0.859507
102.765	52.8749	0.873328
102.75	52.8747	0.887305
102.735	52.8745	0.90144
102.72	52.8743	0.915731
102.705	52.874	0.930179
102.691	52.8738	0.944783
102.676	52.8736	0.959544
102.661	52.8733	0.974462
102.646	52.8731	0.989537
102.631	52.8729	1.00477
102.616	52.8726	1.02016
102.601	52.8724	1.0357
102.586	52.8722	1.0514
102.572	52.8719	1.06726
102.557	52.8717	1.08328
102.542	52.8714	1.09945
102.527	52.8712	1.11578
102.512	52.8709	1.13226
102.497	52.8707	1.1489
102.482	52.8704	1.1657
102.468	52.8702	1.18266
102.453	52.8699	1.19977
102.438	52.8697	1.21704
102.423	52.8694	1.23446
102.408	52.8691	1.25205
103.256	52.8811	0.5
103.241	52.8809	0.517531
103.226	52.8808	0.535218
103.211	52.8806	0.553062
103.196	52.8805	0.571063
103.182	52.8803	0.589221
103.167	52.8801	0.607535
103.152	52.88	0.626007
103.137	52.8798	0.644634
103.122	52.8796	0.663419
103.107	52.8794	0.68236
103.092	52.8793	0.701458
103.077	52.8791	0.720713
103.063	52.8789	0.740124
103.048	52.8787	0.759692
103.033	52.8785	0.779417
103.018	52.8784	0.799298
103.003	52.8782	0.819337
102.988	52.878	0.839532
102.973	52.8778	0.859883
102.958	52.8776	0.880391
102.944	52.8774	0.901056
102.929	52.8772	0.921878
102.914	52.877	0.942857
102.899	52.8768	0.963992
102.884	52.8766	0.985283
102.616	52.8794	0.644935
102.601	52.8793	0.651755
102.586	52.8792	0.658731
102.571	52.8791	0.665864
102.556	52.879	0.673154
102.542	52.879	0.6806
102.527	52.8789	0.688204
102.512	52.8788	0.695964
102.497	52.8787	0.70388
102.482	52.8786	0.711954
102.467	52.8785	0.720184
102.452	52.8784	0.728571
102.437	52.8783	0.737115
102.423	52.8782	0.745816
102.408	52.8781	0.754673
102.393	52.878	0.763687
102.378	52.8779	0.772858
102.363	52.8778	0.782186
102.348	52.8776	0.79167
102.333	52.8775	0.801311
102.318	52.8774	0.811109
102.303	52.8773	0.821064
102.289	52.8772	0.831175
102.274	52.877	0.841443
102.259	52.8769	0.851868
102.244	52.8768	0.86245
102.229	52.8767	0.873188
102.214	52.8765	0.884083
102.199	52.8764	0.895135
102.184	52.8763	0.906343
102.17	52.8761	0.917709
102.155	52.876	0.929231
102.14	52.8759	0.94091
102.125	52.8757	0.952745
102.11	52.8756	0.964738
102.095	52.8754	0.976887
102.08	52.8753	0.989192
102.065	52.8751	1.00165
102.051	52.875	1.01427
102.036	52.8748	1.02705
102.021	52.8747	1.03998
102.006	52.8745	1.05307
101.991	52.8744	1.06632
101.976	52.8742	1.07972
101.961	52.8741	1.09328
101.946	52.8739	1.107
101.932	52.8737	1.12087
101.917	52.8736	1.1349
101.902	52.8734	1.14909
101.887	52.8732	1.16343
101.872	52.8731	1.17793
101.857	52.8729	1.19259
101.842	52.8727	1.2074
101.827	52.8725	1.22237
101.812	52.8723	1.2375
101.798	52.8722	1.25278
101.783	52.872	1.26822
101.768	52.8718	1.28382
101.753	52.8716	1.29957
101.738	52.8714	1.31548
101.723	52.8712	1.33155
101.708	52.871	1.34777
101.694	52.8708	1.36415
101.679	52.8706	1.38069
101.664	52.8705	1.39739
101.649	52.8703	1.41424
101.634	52.8701	1.43124
101.619	52.8698	1.44841
103.107	52.881	0.595103
103.092	52.881	0.605476
103.077	52.881	0.616005
103.063	52.8809	0.626691
103.048	52.8809	0.637534
103.033	52.8809	0.648533
103.018	52.8809	0.65969
103.003	52.8808	0.671003
102.988	52.8808	0.682472
102.973	52.8808	0.694099
102.958	52.8807	0.705882
102.943	52.8807	0.717822
102.929	52.8806	0.729919
102.914	52.8806	0.742172
102.899	52.8806	0.754582
102.884	52.8805	0.767149
102.869	52.8805	0.779873
102.854	52.8804	0.792754
102.839	52.8804	0.805791
102.824	52.8803	0.818985
102.81	52.8803	0.832335
102.795	52.8802	0.845843
102.78	52.8801	0.859507
102.765	52.8801	0.873328
102.75	52.88	0.887305
102.735	52.88	0.90144
102.72	52.8799	0.915731
102.705	52.8798	0.930179
102.69	52.8798	0.944783
102.676	52.8797	0.959544
102.661	52.8796	0.974462
102.646	52.8795	0.989537
102.631	52.8795	1.00477
102.616	52.8794	1.02016
102.601	52.8793	1.0357
102.586	52.8792	1.0514
102.571	52.8791	1.06726
102.557	52.879	1.08328
102.542	52.879	1.09945
102.527	52.8789	1.11578
102.512	52.8788	1.13226
102.497	52.8787	1.1489
102.482	52.8786	1.1657
102.467	52.8785	1.18266
102.452	52.8784	1.19977
102.437	52.8783	1.21704
102.423	52.8782	1.23446
102.408	52.8781	1.25205
102.393	52.878	1.26979
102.378	52.8779	1.28768
102.363	52.8778	1.30573
102.348	52.8776	1.32394
102.333	52.8775	1.34231
102.318	52.8774	1.36083
102.304	52.8773	1.37951
102.289	52.8772	1.39835
102.274	52.877	1.41734
102.259	52.8769	1.43649
102.244	52.8768	1.45579
102.229	52.8767	1.47526
102.214	52.8765	1.49487
102.199	52.8764	1.51465
102.185	52.8763	1.53458
102.17	52.8761	1.55467
102.155	52.876	1.57492
102.14	52.8759	1.59532
102.125	52.8757	1.61588
102.11	52.8756	1.6366
103.256	52.8811	0.5
103.241	52.8811	0.517531
103.226	52.8811	0.535218
103.211	52.8811	0.553062
103.196	52.8811	0.571063
103.182	52.8811	0.589221
103.167	52.8811	0.607535
103.152	52.8811	0.626007
103.137	52.881	0.644634
103.122	52.881	0.663419
103.107	52.881	0.68236
103.092	52.881	0.701458
103.077	52.881	0.720713
103.063	52.8809	0.740124
103.048	52.8809	0.759692
103.033	52.8809	0.779417
103.018	52.8809	0.799298
103.003	52.8808	0.819337
102.988	52.8808	0.839532
102.973	52.8808	0.859883
102.958	52.8807	0.880391
102.943	52.8807	0.901056
102.929	52.8806	0.921878
102.914	52.8806	0.942857
102.899	52.8806	0.963992
102.884	52.8805	0.985283
102.869	52.8805	1.00673
102.854	52.8804	1.02834
102.839	52.8804	1.0501
102.824	52.8803	1.07202
102.81	52.8803	1.09409
102.795	52.8802	1.11632
102.78	52.8801	1.13871
102.765	52.8801	1.16126
102.75	52.88	1.18396
102.735	52.88	1.20682
102.72	52.8799	1.22983
102.705	52.8798	1.25301
102.691	52.8798	1.27633
102.676	52.8797	1.29982
102.661	52.8796	1.32346
102.646	52.8795	1.34726
102.631	52.8795	1.37122
102.616	52.8794	1.39533
102.601	52.8793	1.4196
102.586	52.8792	1.44402
103.256	52.8811	0.5
103.241	52.8811	0.526255
103.226	52.8811	0.552667
103.211	52.8811	0.579236
103.196	52.8811	0.605961
